surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
19,ك ه ي ع ص,ص,count_previous,Letter count in previous surah,45,Previous surah (surah 18)
19,ك ه ي ع ص,ص,count_all_previous,Letter count in all previous surahs,1029,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ص,count_next,Letter count in next surah,35,Next surah (surah 20)
19,ك ه ي ع ص,ص,count_all_after,Letter count in all subsequent surahs,1019,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ص,ratio_current,Letter ratio in current surah (count/total),0.006785624528776075,Current surah with Muqatta'at
19,ك ه ي ع ص,ص,ratio_previous,Letter ratio in previous surah (count/total),0.006796556411418215,Previous surah (surah 18)
19,ك ه ي ع ص,ص,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.006057751744032025,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ص,ratio_next,Letter ratio in next surah (count/total),0.006417308397506418,Next surah (surah 20)
19,ك ه ي ع ص,ص,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.006317303459948048,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ص,diff_vs_previous,Difference between current and previous surah ratios,-1.0931882642140414e-05,Current vs Previous surah ratio difference
19,ك ه ي ع ص,ص,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0007278727847440493,Current vs All Previous surahs ratio difference
19,ك ه ي ع ص,ص,diff_vs_next,Difference between current and next surah ratios,0.0003683161312696571,Current vs Next surah ratio difference
19,ك ه ي ع ص,ص,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.00046832106882802645,Current vs All Subsequent surahs ratio difference
20,ط ه,ط,count_current,Letter count in current surah,29,Current surah with Muqatta'at
20,ط ه,ط,count_previous,Letter count in previous surah,13,Previous surah (surah 19)
20,ط ه,ط,count_all_previous,Letter count in all previous surahs,636,All surahs before current (surahs 1-19)
20,ط ه,ط,count_next,Letter count in next surah,17,Next surah (surah 21)
20,ط ه,ط,count_all_after,Letter count in all subsequent surahs,612,All surahs after current (surahs 21-114)
20,ط ه,ط,ratio_current,Letter ratio in current surah (count/total),0.005317198386505317,Current surah with Muqatta'at
20,ط ه,ط,ratio_previous,Letter ratio in previous surah (count/total),0.003267152550892184,Previous surah (surah 19)
20,ط ه,ط,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.0036584524056050252,All surahs before current (surahs 1-19)
20,ط ه,ط,ratio_next,Letter ratio in next surah (count/total),0.003299049097613041,Next surah (surah 21)
20,ط ه,ط,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.0039268779395440455,All surahs after current (surahs 21-114)
20,ط ه,ط,diff_vs_previous,Difference between current and previous surah ratios,0.002050045835613133,Current vs Previous surah ratio difference
20,ط ه,ط,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0016587459809002916,Current vs All Previous surahs ratio difference
20,ط ه,ط,diff_vs_next,Difference between current and next surah ratios,0.002018149288892276,Current vs Next surah ratio difference
20,ط ه,ط,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0013903204469612714,Current vs All Subsequent surahs ratio difference
20,ط ه,ه,count_current,Letter count in current surah,215,Current surah with Muqatta'at
20,ط ه,ه,count_previous,Letter count in previous surah,149,Previous surah (surah 19)
20,ط ه,ه,count_all_previous,Letter count in all previous surahs,7770,All surahs before current (surahs 1-19)
20,ط ه,ه,count_next,Letter count in next surah,263,Next surah (surah 21)
20,ط ه,ه,count_all_after,Letter count in all subsequent surahs,6866,All surahs after current (surahs 21-114)
20,ط ه,ه,ratio_current,Letter ratio in current surah (count/total),0.03942060872753942,Current surah with Muqatta'at
20,ط ه,ه,ratio_previous,Letter ratio in previous surah (count/total),0.037446594621764265,Previous surah (surah 19)
20,ط ه,ه,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.04469524401187271,All surahs before current (surahs 1-19)
20,ط ه,ه,ratio_next,Letter ratio in next surah (count/total),0.05103823015718999,Next surah (surah 21)
20,ط ه,ه,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.04405546394266245,All surahs after current (surahs 21-114)
20,ط ه,ه,diff_vs_previous,Difference between current and previous surah ratios,0.0019740141057751556,Current vs Previous surah ratio difference
20,ط ه,ه,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.005274635284333293,Current vs All Previous surahs ratio difference
20,ط ه,ه,diff_vs_next,Difference between current and next surah ratios,-0.011617621429650567,Current vs Next surah ratio difference
20,ط ه,ه,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.004634855215123031,Current vs All Subsequent surahs ratio difference
26,ط س م,ط,count_current,Letter count in current surah,34,Current surah with Muqatta'at
26,ط س م,ط,count_previous,Letter count in previous surah,11,Previous surah (surah 25)
26,ط س م,ط,count_all_previous,Letter count in all previous surahs,764,All surahs before current (surahs 1-25)
26,ط س م,ط,count_next,Letter count in next surah,28,Next surah (surah 27)
26,ط س م,ط,count_all_after,Letter count in all subsequent surahs,479,All surahs after current (surahs 27-114)
26,ط س م,ط,ratio_current,Letter ratio in current surah (count/total),0.006003884866678439,Current surah with Muqatta'at
26,ط س م,ط,ratio_previous,Letter ratio in previous surah (count/total),0.0028118609406952966,Previous surah (surah 25)
26,ط س م,ط,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.0037429696839052303,All surahs before current (surahs 1-25)
26,ط س م,ط,ratio_next,Letter ratio in next surah (count/total),0.005779153766769866,Next surah (surah 27)
26,ط س م,ط,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.0038207517069746666,All surahs after current (surahs 27-114)
26,ط س م,ط,diff_vs_previous,Difference between current and previous surah ratios,0.0031920239259831426,Current vs Previous surah ratio difference
26,ط س م,ط,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.002260915182773209,Current vs All Previous surahs ratio difference
26,ط س م,ط,diff_vs_next,Difference between current and next surah ratios,0.00022473109990857332,Current vs Next surah ratio difference
26,ط س م,ط,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0021831331597037726,Current vs All Subsequent surahs ratio difference
26,ط س م,س,count_current,Letter count in current surah,94,Current surah with Muqatta'at
26,ط س م,س,count_previous,Letter count in previous surah,81,Previous surah (surah 25)
26,ط س م,س,count_all_previous,Letter count in all previous surahs,3625,All surahs before current (surahs 1-25)
26,ط س م,س,count_next,Letter count in next surah,94,Next surah (surah 27)
26,ط س م,س,count_all_after,Letter count in all subsequent surahs,2297,All surahs after current (surahs 27-114)
26,ط س م,س,ratio_current,Letter ratio in current surah (count/total),0.016598975807875685,Current surah with Muqatta'at
26,ط س م,س,ratio_previous,Letter ratio in previous surah (count/total),0.020705521472392636,Previous surah (surah 25)
26,ط س م,س,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.01775950929863411,All surahs before current (surahs 1-25)
26,ط س م,س,ratio_next,Letter ratio in next surah (count/total),0.01940144478844169,Next surah (surah 27)
26,ط س م,س,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.01832205985578457,All surahs after current (surahs 27-114)
26,ط س م,س,diff_vs_previous,Difference between current and previous surah ratios,-0.0041065456645169515,Current vs Previous surah ratio difference
26,ط س م,س,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0011605334907584253,Current vs All Previous surahs ratio difference
26,ط س م,س,diff_vs_next,Difference between current and next surah ratios,-0.002802468980566006,Current vs Next surah ratio difference
